Famiglia e Tipo,ID Elemento,Categoria,Verifica,Stato
Pavimento: ARC_PAV_PRE_Gen22_22mm,1273050,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1273057,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1273315,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1273324,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1273353,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1273361,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1273367,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1273374,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1273381,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1273674,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1273680,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1273687,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1273711,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1273718,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1273747,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1273755,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1273786,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1273794,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1273800,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1273807,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1273814,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1274069,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1274075,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1274082,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1274106,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1274113,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1274142,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1274150,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1274181,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1274189,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1274195,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1274202,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1274209,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1274256,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1274262,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1274269,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1274293,Pavimenti,Verificato,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1274300,Pavimenti,Verificato,1
