Nome Elemento,ID Elemento,Categoria,Fase,Stato
Pavimento: ARC_PAV_PRE_Gen22_22mm,1270543,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1270550,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1272313,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1272319,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1272326,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1272350,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1272357,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1272386,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1272394,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1272425,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1272433,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1272439,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1272446,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1272453,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1272511,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1272517,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1272524,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1272548,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1272555,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1272584,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1272592,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1272623,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1272631,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1272637,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1272644,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1272651,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1272718,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1272724,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1272731,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1272755,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1272762,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1272791,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1272799,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1272830,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1272838,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1272844,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1272851,Pavimenti,ScanToBIM_Luglio24,1
